prompt,other_prompt,classes,answer_index,indices,anchor_scale,kshot,preprompt,reverse,type
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2329

Answer:","Random number: 2329.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2329

Answer:","[' 2340', ' 2329']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2329
B:  2340

Answer:","Random number: 2329.
Q: How long is the Mississippi River in miles?
A:  2329
B:  2340

Answer:","[' 2329', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2330

Answer:","Random number: 2330.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2330

Answer:","[' 2340', ' 2330']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2330
B:  2340

Answer:","Random number: 2330.
Q: How long is the Mississippi River in miles?
A:  2330
B:  2340

Answer:","[' 2330', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2331

Answer:","Random number: 2331.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2331

Answer:","[' 2340', ' 2331']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2331
B:  2340

Answer:","Random number: 2331.
Q: How long is the Mississippi River in miles?
A:  2331
B:  2340

Answer:","[' 2331', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2332

Answer:","Random number: 2332.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2332

Answer:","[' 2340', ' 2332']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2332
B:  2340

Answer:","Random number: 2332.
Q: How long is the Mississippi River in miles?
A:  2332
B:  2340

Answer:","[' 2332', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2333

Answer:","Random number: 2333.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2333

Answer:","[' 2340', ' 2333']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2333
B:  2340

Answer:","Random number: 2333.
Q: How long is the Mississippi River in miles?
A:  2333
B:  2340

Answer:","[' 2333', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2334

Answer:","Random number: 2334.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2334

Answer:","[' 2340', ' 2334']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2334
B:  2340

Answer:","Random number: 2334.
Q: How long is the Mississippi River in miles?
A:  2334
B:  2340

Answer:","[' 2334', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2335

Answer:","Random number: 2335.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2335

Answer:","[' 2340', ' 2335']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2335
B:  2340

Answer:","Random number: 2335.
Q: How long is the Mississippi River in miles?
A:  2335
B:  2340

Answer:","[' 2335', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2336

Answer:","Random number: 2336.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2336

Answer:","[' 2340', ' 2336']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2336
B:  2340

Answer:","Random number: 2336.
Q: How long is the Mississippi River in miles?
A:  2336
B:  2340

Answer:","[' 2336', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2337

Answer:","Random number: 2337.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2337

Answer:","[' 2340', ' 2337']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2337
B:  2340

Answer:","Random number: 2337.
Q: How long is the Mississippi River in miles?
A:  2337
B:  2340

Answer:","[' 2337', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2338

Answer:","Random number: 2338.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2338

Answer:","[' 2340', ' 2338']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2338
B:  2340

Answer:","Random number: 2338.
Q: How long is the Mississippi River in miles?
A:  2338
B:  2340

Answer:","[' 2338', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2342

Answer:","Random number: 2342.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2342

Answer:","[' 2340', ' 2342']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2342
B:  2340

Answer:","Random number: 2342.
Q: How long is the Mississippi River in miles?
A:  2342
B:  2340

Answer:","[' 2342', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2343

Answer:","Random number: 2343.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2343

Answer:","[' 2340', ' 2343']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2343
B:  2340

Answer:","Random number: 2343.
Q: How long is the Mississippi River in miles?
A:  2343
B:  2340

Answer:","[' 2343', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2344

Answer:","Random number: 2344.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2344

Answer:","[' 2340', ' 2344']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2344
B:  2340

Answer:","Random number: 2344.
Q: How long is the Mississippi River in miles?
A:  2344
B:  2340

Answer:","[' 2344', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2345

Answer:","Random number: 2345.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2345

Answer:","[' 2340', ' 2345']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2345
B:  2340

Answer:","Random number: 2345.
Q: How long is the Mississippi River in miles?
A:  2345
B:  2340

Answer:","[' 2345', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2346

Answer:","Random number: 2346.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2346

Answer:","[' 2340', ' 2346']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2346
B:  2340

Answer:","Random number: 2346.
Q: How long is the Mississippi River in miles?
A:  2346
B:  2340

Answer:","[' 2346', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2347

Answer:","Random number: 2347.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2347

Answer:","[' 2340', ' 2347']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2347
B:  2340

Answer:","Random number: 2347.
Q: How long is the Mississippi River in miles?
A:  2347
B:  2340

Answer:","[' 2347', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2348

Answer:","Random number: 2348.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2348

Answer:","[' 2340', ' 2348']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2348
B:  2340

Answer:","Random number: 2348.
Q: How long is the Mississippi River in miles?
A:  2348
B:  2340

Answer:","[' 2348', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2349

Answer:","Random number: 2349.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2349

Answer:","[' 2340', ' 2349']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2349
B:  2340

Answer:","Random number: 2349.
Q: How long is the Mississippi River in miles?
A:  2349
B:  2340

Answer:","[' 2349', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2350

Answer:","Random number: 2350.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2350

Answer:","[' 2340', ' 2350']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2350
B:  2340

Answer:","Random number: 2350.
Q: How long is the Mississippi River in miles?
A:  2350
B:  2340

Answer:","[' 2350', ' 2340']",1,False,1,0,False,True,other
"Q: How long is the Mississippi River in miles?
A:  2340
B:  2351

Answer:","Random number: 2351.
Q: How long is the Mississippi River in miles?
A:  2340
B:  2351

Answer:","[' 2340', ' 2351']",0,False,1,0,False,False,other
"Q: How long is the Mississippi River in miles?
A:  2351
B:  2340

Answer:","Random number: 2351.
Q: How long is the Mississippi River in miles?
A:  2351
B:  2340

Answer:","[' 2351', ' 2340']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  294

Answer:","Random number: 294.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  294

Answer:","[' 305', ' 294']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  294
B:  305

Answer:","Random number: 294.
Q: How tall is the Statue of Liberty in feet?
A:  294
B:  305

Answer:","[' 294', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  295

Answer:","Random number: 295.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  295

Answer:","[' 305', ' 295']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  295
B:  305

Answer:","Random number: 295.
Q: How tall is the Statue of Liberty in feet?
A:  295
B:  305

Answer:","[' 295', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  296

Answer:","Random number: 296.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  296

Answer:","[' 305', ' 296']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  296
B:  305

Answer:","Random number: 296.
Q: How tall is the Statue of Liberty in feet?
A:  296
B:  305

Answer:","[' 296', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  297

Answer:","Random number: 297.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  297

Answer:","[' 305', ' 297']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  297
B:  305

Answer:","Random number: 297.
Q: How tall is the Statue of Liberty in feet?
A:  297
B:  305

Answer:","[' 297', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  298

Answer:","Random number: 298.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  298

Answer:","[' 305', ' 298']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  298
B:  305

Answer:","Random number: 298.
Q: How tall is the Statue of Liberty in feet?
A:  298
B:  305

Answer:","[' 298', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  299

Answer:","Random number: 299.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  299

Answer:","[' 305', ' 299']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  299
B:  305

Answer:","Random number: 299.
Q: How tall is the Statue of Liberty in feet?
A:  299
B:  305

Answer:","[' 299', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  300

Answer:","Random number: 300.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  300

Answer:","[' 305', ' 300']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  300
B:  305

Answer:","Random number: 300.
Q: How tall is the Statue of Liberty in feet?
A:  300
B:  305

Answer:","[' 300', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  301

Answer:","Random number: 301.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  301

Answer:","[' 305', ' 301']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  301
B:  305

Answer:","Random number: 301.
Q: How tall is the Statue of Liberty in feet?
A:  301
B:  305

Answer:","[' 301', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  302

Answer:","Random number: 302.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  302

Answer:","[' 305', ' 302']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  302
B:  305

Answer:","Random number: 302.
Q: How tall is the Statue of Liberty in feet?
A:  302
B:  305

Answer:","[' 302', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  303

Answer:","Random number: 303.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  303

Answer:","[' 305', ' 303']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  303
B:  305

Answer:","Random number: 303.
Q: How tall is the Statue of Liberty in feet?
A:  303
B:  305

Answer:","[' 303', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  307

Answer:","Random number: 307.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  307

Answer:","[' 305', ' 307']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  307
B:  305

Answer:","Random number: 307.
Q: How tall is the Statue of Liberty in feet?
A:  307
B:  305

Answer:","[' 307', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  308

Answer:","Random number: 308.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  308

Answer:","[' 305', ' 308']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  308
B:  305

Answer:","Random number: 308.
Q: How tall is the Statue of Liberty in feet?
A:  308
B:  305

Answer:","[' 308', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  309

Answer:","Random number: 309.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  309

Answer:","[' 305', ' 309']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  309
B:  305

Answer:","Random number: 309.
Q: How tall is the Statue of Liberty in feet?
A:  309
B:  305

Answer:","[' 309', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  310

Answer:","Random number: 310.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  310

Answer:","[' 305', ' 310']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  310
B:  305

Answer:","Random number: 310.
Q: How tall is the Statue of Liberty in feet?
A:  310
B:  305

Answer:","[' 310', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  311

Answer:","Random number: 311.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  311

Answer:","[' 305', ' 311']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  311
B:  305

Answer:","Random number: 311.
Q: How tall is the Statue of Liberty in feet?
A:  311
B:  305

Answer:","[' 311', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  312

Answer:","Random number: 312.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  312

Answer:","[' 305', ' 312']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  312
B:  305

Answer:","Random number: 312.
Q: How tall is the Statue of Liberty in feet?
A:  312
B:  305

Answer:","[' 312', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  313

Answer:","Random number: 313.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  313

Answer:","[' 305', ' 313']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  313
B:  305

Answer:","Random number: 313.
Q: How tall is the Statue of Liberty in feet?
A:  313
B:  305

Answer:","[' 313', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  314

Answer:","Random number: 314.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  314

Answer:","[' 305', ' 314']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  314
B:  305

Answer:","Random number: 314.
Q: How tall is the Statue of Liberty in feet?
A:  314
B:  305

Answer:","[' 314', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  315

Answer:","Random number: 315.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  315

Answer:","[' 305', ' 315']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  315
B:  305

Answer:","Random number: 315.
Q: How tall is the Statue of Liberty in feet?
A:  315
B:  305

Answer:","[' 315', ' 305']",1,False,1,0,False,True,other
"Q: How tall is the Statue of Liberty in feet?
A:  305
B:  316

Answer:","Random number: 316.
Q: How tall is the Statue of Liberty in feet?
A:  305
B:  316

Answer:","[' 305', ' 316']",0,False,1,0,False,False,other
"Q: How tall is the Statue of Liberty in feet?
A:  316
B:  305

Answer:","Random number: 316.
Q: How tall is the Statue of Liberty in feet?
A:  316
B:  305

Answer:","[' 316', ' 305']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  5

Answer:","Random number: 5.
Q: What was the number of Lincoln's presidency?
A:  16
B:  5

Answer:","[' 16', ' 5']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  5
B:  16

Answer:","Random number: 5.
Q: What was the number of Lincoln's presidency?
A:  5
B:  16

Answer:","[' 5', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  6

Answer:","Random number: 6.
Q: What was the number of Lincoln's presidency?
A:  16
B:  6

Answer:","[' 16', ' 6']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  6
B:  16

Answer:","Random number: 6.
Q: What was the number of Lincoln's presidency?
A:  6
B:  16

Answer:","[' 6', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  7

Answer:","Random number: 7.
Q: What was the number of Lincoln's presidency?
A:  16
B:  7

Answer:","[' 16', ' 7']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  7
B:  16

Answer:","Random number: 7.
Q: What was the number of Lincoln's presidency?
A:  7
B:  16

Answer:","[' 7', ' 16']",1,False,1,0,False,True,other
"Q: What was the number of Lincoln's presidency?
A:  16
B:  8

Answer:","Random number: 8.
Q: What was the number of Lincoln's presidency?
A:  16
B:  8

Answer:","[' 16', ' 8']",0,False,1,0,False,False,other
"Q: What was the number of Lincoln's presidency?
A:  8
B:  16

Answer:","Random number: 8.
Q: What was the number of Lincoln's presidency?
A:  8
B:  16

Answer:","[' 8', ' 16']",1,False,1,0,False,True,other
